order_id,order_date,total_amount,user_id,user_name,city,membership,restaurant_id,restaurant_name,cuisine,rating,order_year,order_month,order_month_name,order_quarter,order_day_of_week
72,2023-11-28,575.36,204,User_204,Bangalore,Regular,413,Sai Curry House Punjabi,Italian,3.3,2023,11,November,4,Tuesday
73,2023-04-19,765.76,1725,User_1725,Bangalore,Gold,80,Spice Mess Chinese,Italian,3.9,2023,4,April,2,Wednesday
74,2023-12-01,1223.01,1284,User_1284,Chennai,Regular,229,Ruchi Mess Family Restaurant,Italian,3.8,2023,12,December,4,Friday
75,2023-08-22,700.31,849,User_849,Pune,Regular,444,Classic Cafe Family Restaurant,Chinese,4.7,2023,8,August,3,Tuesday
76,2023-08-28,1117.61,1565,User_1565,Pune,Regular,233,Grand Cafe Family Restaurant,Italian,4.5,2023,8,August,3,Monday
77,2023-10-22,851.28,1632,User_1632,Bangalore,Regular,80,Spice Mess Chinese,Italian,3.9,2023,10,October,4,Sunday
78,2023-12-24,271.81,2286,User_2286,Chennai,Regular,432,Hotel Eatery Pure Veg,Mexican,5.0,2023,12,December,4,Sunday
79,2023-03-09,1052.51,1396,User_1396,Pune,Gold,242,Classic Dhaba Punjabi,Mexican,4.0,2023,3,March,1,Thursday
80,2023-02-23,1323.7,1965,User_1965,Hyderabad,Gold,291,Annapurna Foods Non-Veg,Mexican,4.3,2023,2,February,1,Thursday
81,2023-08-18,537.78,2320,User_2320,Hyderabad,Gold,368,Sri Dhaba Pure Veg,Indian,4.4,2023,8,August,3,Friday
82,2023-01-11,1326.03,38,User_38,Chennai,Gold,257,Sri Kitchen Family Restaurant,Italian,3.4,2023,1,January,1,Wednesday
83,2023-09-03,961.02,1149,User_1149,Chennai,Gold,347,Amma Delights Chinese,Chinese,4.8,2023,9,September,3,Sunday
84,2023-12-29,488.53,2879,User_2879,Pune,Gold,196,Hotel Curry House Chinese,Italian,5.0,2023,12,December,4,Friday
85,2023-11-12,1102.52,2917,User_2917,Bangalore,Gold,201,Spice Cafe Pure Veg,Mexican,3.4,2023,11,November,4,Sunday
86,2023-10-28,1018.04,2563,User_2563,Hyderabad,Regular,423,Royal Tiffins Multicuisine,Indian,3.2,2023,10,October,4,Saturday
87,2023-04-14,1103.42,1750,User_1750,Pune,Gold,385,Ruchi Mess Multicuisine,Chinese,4.4,2023,4,April,2,Friday
88,2023-06-01,196.11,58,User_58,Bangalore,Regular,320,Hotel Cafe Multicuisine,Italian,4.1,2023,6,June,2,Thursday
89,2023-06-20,619.05,1619,User_1619,Bangalore,Regular,158,Hotel Biryani Pure Veg,Indian,4.5,2023,6,June,2,Tuesday
90,2023-01-16,264.05,2760,User_2760,Hyderabad,Regular,320,Hotel Cafe Multicuisine,Italian,4.1,2023,1,January,1,Monday
91,2023-07-07,391.36,2309,User_2309,Chennai,Gold,476,Royal Curry House Multicuisine,Mexican,3.4,2023,7,July,3,Friday
92,2023-01-07,870.09,81,User_81,Chennai,Regular,200,Annapurna Restaurant Pure Veg,Chinese,3.9,2023,1,January,1,Saturday
93,2023-01-22,441.18,2874,User_2874,Hyderabad,Regular,1,Royal Kitchen Family Restaurant,Chinese,4.8,2023,1,January,1,Sunday
94,2023-12-10,285.28,587,User_587,Chennai,Regular,176,Classic Delights North Indian,Italian,4.0,2023,12,December,4,Sunday
95,2023-02-20,795.58,570,User_570,Bangalore,Gold,280,Taste of Dhaba Andhra,Chinese,3.7,2023,2,February,1,Monday
96,2023-09-17,711.84,1048,User_1048,Pune,Regular,157,Sai Restaurant Family Restaurant,Italian,4.5,2023,9,September,3,Sunday
97,2023-09-18,190.14,614,User_614,Hyderabad,Regular,335,New Biryani Family Restaurant,Italian,3.9,2023,9,September,3,Monday
98,2023-12-05,1225.83,1135,User_1135,Bangalore,Regular,161,Annapurna Biryani South Indian,Mexican,3.8,2023,12,December,4,Tuesday
99,2023-11-25,146.68,549,User_549,Pune,Gold,11,Taste of Kitchen Family Restaurant,Chinese,4.9,2023,11,November,4,Saturday
100,2023-12-15,632.94,2811,User_2811,Bangalore,Gold,484,Taste of Biryani Punjabi,Mexican,4.2,2023,12,December,4,Friday
101,2023-09-24,852.59,1337,User_1337,Bangalore,Regular,96,Annapurna Biryani Non-Veg,Mexican,4.4,2023,9,September,3,Sunday
102,2023-03-07,913.83,991,User_991,Pune,Regular,482,Classic Tiffins Pure Veg,Chinese,4.5,2023,3,March,1,Tuesday
103,2023-04-11,1017.18,1922,User_1922,Chennai,Gold,492,Swagath Kitchen North Indian,Italian,4.0,2023,4,April,2,Tuesday
104,2023-10-03,1191.17,1115,User_1115,Chennai,Regular,379,New Dhaba South Indian,Mexican,4.1,2023,10,October,4,Tuesday
105,2023-06-01,109.14,804,User_804,Bangalore,Gold,407,Grand Cafe Chinese,Mexican,4.6,2023,6,June,2,Thursday
106,2023-11-18,1352.79,2873,User_2873,Pune,Gold,68,Taste of Biryani Andhra,Italian,4.1,2023,11,November,4,Saturday
107,2023-03-05,1037.09,1118,User_1118,Pune,Gold,388,Spice Cafe South Indian,Indian,3.9,2023,3,March,1,Sunday
108,2023-04-16,1375.29,1493,User_1493,Chennai,Regular,5,Udupi Foods South Indian,Chinese,4.8,2023,4,April,2,Sunday
109,2023-05-27,1461.82,532,User_532,Hyderabad,Gold,432,Hotel Eatery Pure Veg,Mexican,5.0,2023,5,May,2,Saturday
110,2023-06-04,932.09,1350,User_1350,Bangalore,Gold,220,Spice Kitchen North Indian,Mexican,3.2,2023,6,June,2,Sunday
111,2023-03-30,1346.23,1416,User_1416,Pune,Regular,66,Swagath Dhaba Punjabi,Italian,4.7,2023,3,March,1,Thursday
112,2023-11-15,149.76,2446,User_2446,Bangalore,Gold,447,Amma Biryani South Indian,Chinese,3.2,2023,11,November,4,Wednesday
113,2023-04-13,475.81,2265,User_2265,Pune,Gold,28,Swagath Delights Multicuisine,Chinese,3.6,2023,4,April,2,Thursday
114,2023-07-29,842.42,142,User_142,Pune,Regular,390,Grand Restaurant Pure Veg,Mexican,4.7,2023,7,July,3,Saturday
115,2023-02-17,367.72,827,User_827,Chennai,Gold,184,Annapurna Tiffins Punjabi,Mexican,3.5,2023,2,February,1,Friday
116,2023-03-12,296.82,2476,User_2476,Pune,Regular,319,Darbar Eatery Family Restaurant,Indian,3.1,2023,3,March,1,Sunday
117,2023-05-07,1485.31,1449,User_1449,Pune,Gold,328,Ruchi Curry House Andhra,Mexican,4.6,2023,5,May,2,Sunday
118,2023-07-22,880.41,1209,User_1209,Bangalore,Gold,209,Royal Tiffins Family Restaurant,Indian,3.6,2023,7,July,3,Saturday
119,2023-09-18,1008.64,1741,User_1741,Pune,Gold,257,Sri Kitchen Family Restaurant,Italian,3.4,2023,9,September,3,Monday
120,2023-08-06,1146.39,1385,User_1385,Bangalore,Regular,379,New Dhaba South Indian,Mexican,4.1,2023,8,August,3,Sunday
121,2023-07-31,930.64,383,User_383,Hyderabad,Regular,438,Grand Biryani Pure Veg,Italian,3.2,2023,7,July,3,Monday
122,2023-08-01,769.46,2661,User_2661,Chennai,Gold,376,Amma Cafe Non-Veg,Indian,3.4,2023,8,August,3,Tuesday
123,2023-12-17,1492.73,2440,User_2440,Pune,Regular,73,Spice Mess Andhra,Mexican,3.1,2023,12,December,4,Sunday
124,2023-06-07,996.95,257,User_257,Chennai,Regular,102,Darbar Foods Andhra,Italian,4.9,2023,6,June,2,Wednesday
125,2023-10-09,1345.86,1649,User_1649,Chennai,Gold,14,Taste of Tiffins North Indian,Indian,3.8,2023,10,October,4,Monday
126,2023-09-29,320.68,970,User_970,Bangalore,Regular,122,Amma Eatery Non-Veg,Indian,3.9,2023,9,September,3,Friday
127,2023-01-04,1251.4,2913,User_2913,Pune,Gold,309,Ruchi Curry House Multicuisine,Indian,4.5,2023,1,January,1,Wednesday
128,2023-06-10,379.57,42,User_42,Bangalore,Regular,152,Hotel Curry House Punjabi,Indian,4.8,2023,6,June,2,Saturday
129,2023-11-28,158.62,1227,User_1227,Hyderabad,Gold,46,Udupi Delights Family Restaurant,Chinese,3.6,2023,11,November,4,Tuesday
130,2023-09-05,710.77,1128,User_1128,Pune,Gold,418,Annapurna Foods Multicuisine,Chinese,3.3,2023,9,September,3,Tuesday
131,2023-08-10,1406.07,2850,User_2850,Hyderabad,Gold,389,Ruchi Mess Multicuisine,Italian,4.9,2023,8,August,3,Thursday
132,2023-03-03,198.22,778,User_778,Hyderabad,Gold,302,Spice Curry House Andhra,Mexican,4.9,2023,3,March,1,Friday
133,2023-03-29,872.28,2384,User_2384,Pune,Regular,165,Udupi Kitchen Chinese,Mexican,4.3,2023,3,March,1,Wednesday
134,2023-03-24,775.17,45,User_45,Hyderabad,Gold,220,Spice Kitchen North Indian,Mexican,3.2,2023,3,March,1,Friday
135,2023-11-09,365.07,912,User_912,Bangalore,Regular,483,Darbar Restaurant Family Restaurant,Chinese,4.5,2023,11,November,4,Thursday
136,2023-02-16,968.84,2643,User_2643,Chennai,Regular,175,Sai Biryani Non-Veg,Chinese,4.1,2023,2,February,1,Thursday
137,2023-05-27,1401.56,1603,User_1603,Chennai,Gold,20,Hotel Cafe Punjabi,Indian,3.7,2023,5,May,2,Saturday
138,2023-05-09,1140.38,880,User_880,Pune,Regular,384,Annapurna Biryani Andhra,Mexican,4.6,2023,5,May,2,Tuesday
139,2023-04-20,1446.43,1639,User_1639,Hyderabad,Regular,19,Classic Biryani Chinese,Indian,3.6,2023,4,April,2,Thursday
140,2023-03-13,1381.41,765,User_765,Hyderabad,Gold,381,New Delights North Indian,Italian,4.6,2023,3,March,1,Monday
141,2023-11-12,1129.47,1831,User_1831,Hyderabad,Gold,384,Annapurna Biryani Andhra,Mexican,4.6,2023,11,November,4,Sunday
142,2023-02-07,1331.64,1860,User_1860,Chennai,Gold,112,Grand Cafe Punjabi,Chinese,3.2,2023,2,February,1,Tuesday
143,2023-11-22,158.75,1729,User_1729,Chennai,Gold,259,Amma Curry House Family Restaurant,Mexican,3.7,2023,11,November,4,Wednesday
144,2023-04-16,247.03,2519,User_2519,Chennai,Gold,452,Classic Delights Multicuisine,Chinese,4.4,2023,4,April,2,Sunday
145,2023-09-17,365.51,1243,User_1243,Hyderabad,Gold,11,Taste of Kitchen Family Restaurant,Chinese,4.9,2023,9,September,3,Sunday
146,2023-04-20,1250.74,93,User_93,Bangalore,Regular,2,Royal Delights South Indian,Indian,4.1,2023,4,April,2,Thursday
147,2023-05-27,172.91,1821,User_1821,Hyderabad,Regular,268,Annapurna Biryani Multicuisine,Indian,3.8,2023,5,May,2,Saturday
148,2023-02-06,607.82,1975,User_1975,Bangalore,Regular,73,Spice Mess Andhra,Mexican,3.1,2023,2,February,1,Monday
149,2023-06-24,932.79,2337,User_2337,Bangalore,Gold,345,Sai Tiffins Chinese,Chinese,4.3,2023,6,June,2,Saturday
150,2023-03-01,1402.24,2136,User_2136,Hyderabad,Regular,486,Udupi Mess Andhra,Italian,4.1,2023,3,March,1,Wednesday
151,2023-12-07,1148.35,863,User_863,Bangalore,Gold,474,Annapurna Tiffins Pure Veg,Mexican,3.5,2023,12,December,4,Thursday
152,2023-09-29,112.31,2115,User_2115,Pune,Gold,176,Classic Delights North Indian,Italian,4.0,2023,9,September,3,Friday
153,2023-02-16,641.49,2832,User_2832,Hyderabad,Gold,34,Ruchi Dhaba Multicuisine,Chinese,4.3,2023,2,February,1,Thursday
154,2023-05-28,221.42,623,User_623,Pune,Gold,244,Amma Tiffins South Indian,Italian,4.3,2023,5,May,2,Sunday
155,2023-03-12,484.27,2523,User_2523,Pune,Gold,90,Classic Biryani Pure Veg,Italian,4.8,2023,3,March,1,Sunday
156,2023-08-02,1373.33,282,User_282,Chennai,Gold,179,Annapurna Foods Multicuisine,Italian,3.5,2023,8,August,3,Wednesday
157,2023-05-26,439.11,436,User_436,Bangalore,Gold,120,Classic Biryani Multicuisine,Italian,3.2,2023,5,May,2,Friday
158,2023-01-16,439.9,2732,User_2732,Hyderabad,Regular,182,Annapurna Restaurant Andhra,Mexican,4.8,2023,1,January,1,Monday
159,2023-01-04,1070.88,2152,User_2152,Chennai,Gold,357,Grand Mess Punjabi,Italian,3.8,2023,1,January,1,Wednesday
160,2023-03-30,139.67,1291,User_1291,Chennai,Gold,381,New Delights North Indian,Italian,4.6,2023,3,March,1,Thursday
161,2023-09-29,175.84,354,User_354,Chennai,Regular,319,Darbar Eatery Family Restaurant,Indian,3.1,2023,9,September,3,Friday
162,2023-11-06,763.73,939,User_939,Chennai,Regular,208,New Curry House South Indian,Mexican,4.7,2023,11,November,4,Monday
163,2023-12-26,190.64,2852,User_2852,Pune,Regular,86,Sri Curry House Chinese,Indian,4.2,2023,12,December,4,Tuesday
164,2023-08-08,411.65,2241,User_2241,Chennai,Regular,104,Grand Dhaba South Indian,Chinese,4.9,2023,8,August,3,Tuesday
165,2023-05-12,761.84,1982,User_1982,Chennai,Gold,325,Sri Cafe North Indian,Italian,4.5,2023,5,May,2,Friday
166,2023-10-06,456.5,1583,User_1583,Hyderabad,Gold,169,Ruchi Curry House Pure Veg,Italian,4.2,2023,10,October,4,Friday
167,2023-10-11,427.18,1644,User_1644,Bangalore,Regular,483,Darbar Restaurant Family Restaurant,Chinese,4.5,2023,10,October,4,Wednesday
168,2023-06-15,1357.22,1437,User_1437,Hyderabad,Gold,135,Amma Eatery Non-Veg,Indian,3.7,2023,6,June,2,Thursday
169,2023-04-07,1013.3,2475,User_2475,Pune,Gold,320,Hotel Cafe Multicuisine,Italian,4.1,2023,4,April,2,Friday
170,2023-03-09,1352.94,2134,User_2134,Hyderabad,Regular,290,Taste of Kitchen Chinese,Chinese,4.9,2023,3,March,1,Thursday
171,2023-07-15,1102.1,968,User_968,Bangalore,Regular,319,Darbar Eatery Family Restaurant,Indian,3.1,2023,7,July,3,Saturday
172,2023-01-22,1307.06,1953,User_1953,Chennai,Gold,332,Classic Delights Family Restaurant,Chinese,4.8,2023,1,January,1,Sunday
173,2023-06-18,164.31,1352,User_1352,Pune,Gold,109,Swagath Delights South Indian,Chinese,5.0,2023,6,June,2,Sunday
174,2023-12-11,1161.71,740,User_740,Hyderabad,Gold,371,Sai Dhaba Family Restaurant,Chinese,3.1,2023,12,December,4,Monday
175,2023-10-27,1482.75,238,User_238,Hyderabad,Regular,379,New Dhaba South Indian,Mexican,4.1,2023,10,October,4,Friday
176,2023-12-17,552.39,2544,User_2544,Hyderabad,Gold,171,Ruchi Mess Non-Veg,Mexican,3.6,2023,12,December,4,Sunday
177,2023-05-15,1088.98,2271,User_2271,Pune,Gold,117,Darbar Eatery North Indian,Indian,3.9,2023,5,May,2,Monday
178,2023-05-14,1402.18,424,User_424,Bangalore,Gold,375,Hotel Delights Multicuisine,Chinese,4.3,2023,5,May,2,Sunday
179,2023-09-07,703.69,1437,User_1437,Hyderabad,Gold,91,Annapurna Mess Non-Veg,Italian,4.8,2023,9,September,3,Thursday
180,2023-05-19,1289.82,816,User_816,Chennai,Regular,399,Swagath Cafe Multicuisine,Chinese,3.2,2023,5,May,2,Friday
181,2023-04-20,1437.19,1090,User_1090,Pune,Regular,136,Hotel Cafe South Indian,Indian,3.6,2023,4,April,2,Thursday
182,2023-02-09,1470.97,131,User_131,Chennai,Gold,123,Grand Restaurant Non-Veg,Chinese,4.2,2023,2,February,1,Thursday
183,2023-06-26,561.65,724,User_724,Hyderabad,Regular,489,Swagath Foods Punjabi,Italian,3.0,2023,6,June,2,Monday
184,2023-03-09,518.58,1945,User_1945,Pune,Regular,391,Sri Biryani Family Restaurant,Indian,3.3,2023,3,March,1,Thursday
185,2023-08-13,105.4,1722,User_1722,Hyderabad,Gold,54,Ruchi Tiffins Multicuisine,Italian,4.9,2023,8,August,3,Sunday
186,2023-05-31,1028.25,2704,User_2704,Pune,Gold,285,Ruchi Eatery North Indian,Mexican,4.8,2023,5,May,2,Wednesday
187,2023-06-22,803.92,2805,User_2805,Bangalore,Regular,116,Grand Cafe Punjabi,Chinese,4.2,2023,6,June,2,Thursday
188,2023-06-30,558.85,2666,User_2666,Chennai,Gold,277,Swagath Restaurant North Indian,Mexican,3.3,2023,6,June,2,Friday
189,2023-09-02,805.04,574,User_574,Chennai,Regular,442,Sai Eatery Andhra,Italian,3.7,2023,9,September,3,Saturday
190,2023-03-13,501.58,1542,User_1542,Bangalore,Regular,237,Grand Restaurant South Indian,Italian,4.5,2023,3,March,1,Monday
191,2023-05-05,1340.73,2482,User_2482,Chennai,Regular,116,Grand Cafe Punjabi,Chinese,4.2,2023,5,May,2,Friday
192,2023-04-24,862.55,345,User_345,Chennai,Gold,76,Amma Kitchen Punjabi,Italian,4.7,2023,4,April,2,Monday
193,2023-01-20,261.66,2405,User_2405,Bangalore,Regular,126,Spice Tiffins North Indian,Italian,4.5,2023,1,January,1,Friday
194,2023-07-17,401.42,914,User_914,Bangalore,Regular,183,Taste of Biryani Non-Veg,Chinese,3.7,2023,7,July,3,Monday
195,2023-02-12,1179.75,1258,User_1258,Pune,Regular,58,Sai Biryani Multicuisine,Indian,4.4,2023,2,February,1,Sunday
196,2023-07-25,967.6,789,User_789,Pune,Regular,254,Ruchi Dhaba Chinese,Indian,4.7,2023,7,July,3,Tuesday
197,2023-03-03,619.68,996,User_996,Chennai,Gold,58,Sai Biryani Multicuisine,Indian,4.4,2023,3,March,1,Friday
198,2023-04-05,1389.57,767,User_767,Hyderabad,Gold,243,Grand Tiffins South Indian,Chinese,4.8,2023,4,April,2,Wednesday
199,2023-10-06,844.75,2543,User_2543,Pune,Regular,94,Taste of Eatery Andhra,Chinese,4.5,2023,10,October,4,Friday
200,2023-02-08,258.38,2619,User_2619,Bangalore,Regular,263,Grand Curry House Andhra,Indian,4.4,2023,2,February,1,Wednesday
201,2023-05-20,375.74,1782,User_1782,Hyderabad,Gold,49,Amma Curry House Punjabi,Italian,4.0,2023,5,May,2,Saturday
202,2023-02-25,1169.6,1347,User_1347,Chennai,Gold,43,Sai Cafe North Indian,Chinese,4.9,2023,2,February,1,Saturday
203,2023-01-30,986.26,482,User_482,Hyderabad,Regular,376,Amma Cafe Non-Veg,Indian,3.4,2023,1,January,1,Monday
